SPY,Open,High,Low,Close,Volume
2023-10-01,426.62,438.14,408.91,418.2,1996852567.0
2023-11-01,419.2,458.32,418.6499,456.4,1498223199.0
2023-12-01,455.77,477.55,454.31,475.31,1640532618.0
2024-01-01,472.16,491.62,466.43,482.88,1698446195.0
2024-02-01,484.63,510.13,483.8,508.08,1392094716.0
2024-03-01,508.98,524.61,504.91,523.07,1472849161.0
2024-04-01,523.83,524.38,493.86,501.98,1587623264.0
2024-05-01,501.38,533.07,499.55,527.37,1146759227.0
2024-06-01,529.02,550.28,522.6,544.22,880172447.0
2024-07-01,545.63,565.16,537.45,550.81,1029531687.0
2024-08-01,552.57,564.2,510.27,563.68,1235362364.0
2024-09-01,560.47,574.71,539.44,573.76,1040304271.0
2024-10-01,573.4,586.12,565.27,568.64,970328994.0
2024-11-01,571.32,603.35,567.89,602.55,888602404.0
2024-12-01,602.97,609.07,580.91,586.08,1034681694.0
2025-01-01,589.39,610.78,575.35,601.82,976083182.0
2025-02-01,592.67,613.23,582.44,594.18,863328995.0
2025-03-01,596.18,597.34,565.63,575.92,412702529.0
