SPY,Open,High,Low,Close,Volume
2023-10-01,426.62,431.125,420.18,429.54,458291827.0
2023-10-08,427.58,437.335,427.0101,431.5,397180728.0
2023-10-15,433.82,438.14,421.08,421.19,488441031.0
2023-10-22,419.61,424.82,409.21,410.68,486746094.0
2023-10-29,413.56,436.29,408.91,434.69,458720686.0
2023-11-05,435.47,440.93,433.4,440.61,365832678.0
2023-11-12,439.23,451.42,438.42,450.79,376499014.0
2023-11-19,450.53,456.38,450.52,455.3,207973220.0
2023-11-26,454.65,459.65,453.34,459.1,344373888.0
2023-12-03,455.6,460.745,454.31,460.2,360593892.0
2023-12-10,459.69,473.73,459.47,469.33,486422865.0
2023-12-17,470.98,475.895,467.82,473.65,381854933.0
2023-12-24,474.07,477.55,473.3,475.31,322677528.0
2023-12-31,472.16,473.67,466.43,467.92,396884511.0
2024-01-07,468.43,478.6,468.3,476.68,343517586.0
2024-01-14,475.26,482.72,469.87,482.43,356349472.0
2024-01-21,484.01,489.12,482.78,487.41,356702428.0
2024-01-28,487.73,496.05,482.86,494.35,436112027.0
2024-02-04,493.695,501.65,490.23,501.2,317900881.0
2024-02-11,501.17,503.5,490.715,499.51,375177997.0
2024-02-18,497.72,510.13,493.56,507.85,268904764.0
2024-02-25,508.3,513.29,504.75,512.85,315683589.0
2024-03-03,512.03,518.2201,504.91,511.72,336006767.0
2024-03-10,510.48,517.38,508.122,509.83,408326927.0
2024-03-17,514.0,524.11,511.12,521.21,358552608.0
2024-03-24,519.8,524.61,518.4,523.07,293270515.0
2024-03-31,523.83,524.38,512.755,518.43,366993664.0
2024-04-07,519.15,520.75,509.08,510.85,361543094.0
2024-04-14,515.13,515.3,493.86,495.16,416929565.0
2024-04-21,497.83,509.88,495.43,508.26,320745534.0
2024-04-28,510.09,512.55,499.55,511.29,335781209.0
2024-05-05,513.75,522.635,513.3,520.84,236012165.0
2024-05-12,522.56,531.5218,519.74,529.45,262996635.0
2024-05-19,529.57,533.07,524.72,529.44,216719043.0
2024-05-26,530.27,530.51,518.36,527.37,216661582.0
2024-06-02,529.02,536.89,522.6,534.01,201811272.0
2024-06-09,533.18,544.12,532.05,542.78,217575664.0
2024-06-16,542.08,550.12,541.6072,544.51,229450922.0
2024-06-23,544.33,550.28,542.44,544.22,231334589.0
2024-06-30,545.63,555.05,542.52,554.64,153383796.0
2024-07-07,555.44,563.67,554.19,559.99,205409846.0
2024-07-14,562.03,565.16,547.91,548.99,253402406.0
2024-07-21,553.0,556.735,537.45,544.44,266360799.0
2024-07-28,546.02,554.8688,528.6,532.9,309190419.0
2024-08-04,511.64,534.51,510.27,532.99,409636272.0
2024-08-11,534.21,555.02,530.95,554.31,240137571.0
2024-08-18,554.73,563.18,553.86,562.13,219345557.0
2024-08-25,563.18,564.2,555.04,563.68,208027385.0
2024-09-01,560.47,560.81,539.44,540.36,220456629.0
2024-09-08,544.65,563.03,539.96,562.01,243033134.0
2024-09-15,561.74,572.88,559.9,568.25,295675929.0
2024-09-22,569.34,574.71,567.6,571.47,218803383.0
2024-09-29,570.42,574.38,565.27,572.98,255119075.0
2024-10-06,571.3,580.33,566.63,579.58,211406433.0
2024-10-13,581.22,586.12,578.545,584.59,192838840.0
2024-10-20,583.85,584.85,574.415,579.04,201220900.0
2024-10-27,582.58,583.32,568.44,571.04,216907399.0
2024-11-03,571.18,599.64,567.89,598.19,233326179.0
2024-11-10,599.81,600.17,583.86,585.75,241564314.0
2024-11-17,586.22,596.15,584.03,595.51,217803412.0
2024-11-24,599.52,603.35,595.2,602.55,151080042.0
2024-12-01,602.97,609.07,602.341,607.81,157948550.0
2024-12-08,607.69,608.435,602.13,604.21,164849208.0
2024-12-15,606.0,607.7795,580.91,591.15,408072505.0
2024-12-22,590.89,602.48,587.661,595.01,191147818.0
2024-12-29,587.89,592.6,580.5,591.95,200123631.0
2025-01-05,596.27,599.7,578.55,580.49,224113182.0
2025-01-12,575.77,599.36,575.35,597.58,249025477.0
2025-01-19,600.67,610.78,598.67,607.97,161415565.0
2025-01-26,594.81,609.96,594.64,601.82,254068940.0
2025-02-02,592.67,608.13,590.49,600.77,215409380.0
2025-02-09,604.03,610.99,598.51,609.7,167489263.0
2025-02-16,610.88,613.23,599.47,599.94,168628542.0
2025-02-23,602.02,603.03,582.44,594.18,311801810.0
