SPY,Open,High,Low,Close,Volume
2025-01-02 10:00:00,590.18,591.13,586.34,587.61,6179342.0
2025-01-02 11:00:00,587.59,588.77,585.2,587.88,4253171.0
2025-01-02 12:00:00,587.875,588.67,580.94,582.86,7179824.0
2025-01-02 13:00:00,582.86,583.4505,580.5,581.9,7089754.0
2025-01-02 14:00:00,581.9,583.99,581.41,582.1305,4494031.0
2025-01-02 15:00:00,582.16,585.37,582.14,584.58,8310119.0
2025-01-02 16:00:00,584.58,585.379,584.5351,584.92,3572477.0
2025-01-03 10:00:00,588.02,589.46,586.43,589.15,4988808.0
2025-01-03 11:00:00,589.18,590.99,588.12,590.3861,3501339.0
2025-01-03 12:00:00,590.39,591.01,589.9,590.69,2732777.0
2025-01-03 13:00:00,590.69,591.8401,590.2,591.29,3464613.0
2025-01-03 14:00:00,591.31,592.6,591.11,592.07,3473398.0
2025-01-03 15:00:00,592.04,592.21,591.05,591.87,8993309.0
2025-01-03 16:00:00,591.9,591.95,591.4,591.49,2756382.0
2025-01-06 10:00:00,597.9,599.22,597.68,598.87,5877647.0
2025-01-06 11:00:00,598.88,599.7,598.48,599.46,3659806.0
2025-01-06 12:00:00,599.46,599.465,597.4,597.75,3708097.0
2025-01-06 13:00:00,597.75,598.6987,595.59,595.67,3692092.0
2025-01-06 14:00:00,595.63,595.85,594.2603,594.35,5296414.0
2025-01-06 15:00:00,594.32,595.5,593.6,595.4,11072902.0
2025-01-06 16:00:00,595.42,595.96,595.2364,595.9,4168026.0
2025-01-07 10:00:00,596.34,596.34,590.27,593.44,10504761.0
2025-01-07 11:00:00,593.45,593.72,590.51,590.7,4808405.0
2025-01-07 12:00:00,590.715,591.73,589.64,590.905,3708835.0
2025-01-07 13:00:00,590.91,595.2308,590.73,591.0,3616216.0
2025-01-07 14:00:00,591.0,591.57,589.83,590.02,3682988.0
2025-01-07 15:00:00,590.02,590.13,586.78,588.72,15556911.0
2025-01-07 16:00:00,588.72,591.273,588.63,588.72,11120078.0
2025-01-08 10:00:00,587.3,588.73,586.0,588.42,6067505.0
2025-01-08 11:00:00,588.42,589.94,587.205,589.43,3141752.0
2025-01-08 12:00:00,589.4254,589.4595,585.195,586.9432,5278696.0
2025-01-08 13:00:00,586.94,589.57,586.88,587.77,3715993.0
2025-01-08 14:00:00,587.8,590.5799,587.09,588.53,5869864.0
2025-01-08 15:00:00,588.54,589.79,587.88,589.42,9872046.0
2025-01-08 16:00:00,589.41,590.0,588.59,588.96,4952654.0
2025-01-10 10:00:00,582.39,583.2288,579.15,581.1,13876787.0
2025-01-10 11:00:00,581.1,581.37,578.78,579.095,7089674.0
2025-01-10 12:00:00,579.12,581.71,578.55,581.56,5677148.0
2025-01-10 13:00:00,581.55,584.5,580.98,584.42,5139563.0
2025-01-10 14:00:00,584.435,584.46,581.23,582.1,6297583.0
2025-01-10 15:00:00,582.09,582.37,579.7,580.51,13483196.0
2025-01-10 16:00:00,580.57,580.86,579.75,580.03,8745852.0
2025-01-13 10:00:00,577.88,579.18,575.94,577.9,5819216.0
2025-01-13 11:00:00,577.9,578.21,575.88,576.0,4505587.0
2025-01-13 12:00:00,576.02,579.55,575.68,579.46,3711000.0
2025-01-13 13:00:00,579.46,580.285,578.88,580.01,4350514.0
2025-01-13 14:00:00,580.01,581.0,578.97,580.4816,4238004.0
2025-01-13 15:00:00,580.47,581.75,579.87,581.54,8714642.0
2025-01-13 16:00:00,581.52,582.25,581.17,582.15,5576575.0
2025-01-14 10:00:00,582.3,584.64,581.79,581.79,5671305.0
2025-01-14 11:00:00,581.81,581.9599,578.77,578.77,5715710.0
2025-01-14 12:00:00,578.75,580.56,578.35,580.22,3945383.0
2025-01-14 13:00:00,580.21,583.755,580.1,583.49,5057462.0
2025-01-14 14:00:00,583.47,583.81,580.39,580.56,4612386.0
2025-01-14 15:00:00,580.55,582.29,578.9,582.19,11090347.0
2025-01-14 16:00:00,582.16,584.0,581.93,583.07,3556921.0
2025-01-15 10:00:00,591.95,592.97,591.09,591.17,6424374.0
2025-01-15 11:00:00,591.17,592.0,589.5,590.0268,4553324.0
2025-01-15 12:00:00,590.03,591.95,589.92,591.0,2996600.0
2025-01-15 13:00:00,591.0,592.66,591.0,592.53,2320125.0
2025-01-15 14:00:00,592.53,593.72,592.44,593.4,4457579.0
2025-01-15 15:00:00,593.4,593.94,592.68,592.78,14464157.0
2025-01-15 16:00:00,592.74,593.15,592.0474,592.68,6578264.0
2025-01-16 10:00:00,592.18,593.46,591.32,593.46,4015981.0
2025-01-16 11:00:00,593.44,594.35,591.82,593.5055,4363832.0
2025-01-16 12:00:00,593.495,593.81,592.785,592.9799,2031449.0
