SPY,Open,High,Low,Close,Volume
2025-01-02 09:30:00,589.39,590.52,586.14,590.17,5698311.0
2025-01-02 10:00:00,590.18,591.13,587.3121,587.83,3826524.0
2025-01-02 10:30:00,587.81,588.78,586.34,587.61,2352818.0
2025-01-02 11:00:00,587.59,587.8,585.2,587.5301,2752886.0
2025-01-02 11:30:00,587.47,588.77,587.12,587.88,1500285.0
2025-01-02 12:00:00,587.875,588.67,584.21,584.49,1805624.0
2025-01-02 12:30:00,584.47,584.4733,580.94,582.86,5374200.0
2025-01-02 13:00:00,582.86,583.09,581.09,582.36,3197656.0
2025-01-02 13:30:00,582.325,583.4505,580.5,581.9,3892098.0
2025-01-02 14:00:00,581.9,583.505,581.41,583.28,2331473.0
2025-01-02 14:30:00,583.265,583.99,582.02,582.1305,2162558.0
2025-01-02 15:00:00,582.16,584.81,582.14,584.47,2492874.0
2025-01-02 15:30:00,584.48,585.37,583.5502,584.58,5817245.0
2025-01-02 16:00:00,584.58,585.379,584.5351,585.379,3285921.0
2025-01-03 09:30:00,587.53,589.545,586.79,588.01,5281280.0
2025-01-03 10:00:00,588.02,589.46,586.43,588.22,3169968.0
2025-01-03 10:30:00,588.24,589.4595,587.55,589.15,1818840.0
2025-01-03 11:00:00,589.18,589.85,588.12,589.63,1722113.0
2025-01-03 11:30:00,589.6,590.99,589.555,590.3861,1779226.0
2025-01-03 12:00:00,590.39,591.01,590.04,590.145,1414360.0
2025-01-03 12:30:00,590.15,590.76,589.9,590.69,1318417.0
2025-01-03 13:00:00,590.69,591.5,590.2,591.495,1893548.0
2025-01-03 13:30:00,591.5,591.8401,591.05,591.29,1571065.0
2025-01-03 14:00:00,591.31,592.2,591.11,592.1,1590828.0
2025-01-03 14:30:00,592.08,592.6,591.88,592.07,1882570.0
2025-01-03 15:00:00,592.04,592.04,591.43,591.93,1892945.0
2025-01-03 15:30:00,591.93,592.21,591.05,591.87,7100364.0
2025-01-03 16:00:00,591.9,591.95,591.4,591.51,2685852.0
2025-01-06 09:30:00,596.27,598.27,595.9,597.88,5733598.0
2025-01-06 10:00:00,597.9,599.0,597.68,598.89,2827691.0
2025-01-06 10:30:00,598.91,599.22,598.07,598.87,3049956.0
2025-01-06 11:00:00,598.88,599.51,598.48,599.509,1964645.0
2025-01-06 11:30:00,599.492,599.7,599.17,599.46,1695161.0
2025-01-06 12:00:00,599.46,599.465,598.37,598.57,1447032.0
2025-01-06 12:30:00,598.53,598.74,597.4,597.75,2261065.0
2025-01-06 13:00:00,597.75,597.79,596.58,597.39,1867922.0
2025-01-06 13:30:00,597.37,598.6987,595.59,595.67,1824170.0
2025-01-06 14:00:00,595.63,595.85,594.88,595.35,2643345.0
2025-01-06 14:30:00,595.37,595.58,594.2603,594.35,2653069.0
2025-01-06 15:00:00,594.32,595.26,594.04,595.055,3063609.0
2025-01-06 15:30:00,595.055,595.5,593.6,595.4,8009293.0
2025-01-06 16:00:00,595.42,595.95,595.2364,595.7,4051258.0
2025-01-07 09:30:00,597.42,597.75,596.1,596.34,2768852.0
2025-01-07 10:00:00,596.34,596.34,592.03,593.6,5804218.0
2025-01-07 10:30:00,593.61,593.75,590.27,593.44,4700543.0
2025-01-07 11:00:00,593.45,593.72,592.05,593.11,2658676.0
2025-01-07 11:30:00,593.02,593.26,590.51,590.7,2149729.0
2025-01-07 12:00:00,590.715,591.73,590.2125,590.62,2070022.0
2025-01-07 12:30:00,590.65,591.58,589.64,590.905,1638813.0
2025-01-07 13:00:00,590.91,592.409,590.84,592.28,1717975.0
2025-01-07 13:30:00,592.28,595.2308,590.73,591.0,1898241.0
2025-01-07 14:00:00,591.0,591.57,590.55,591.07,1696707.0
2025-01-07 14:30:00,591.06,591.1,589.83,590.02,1986281.0
2025-01-07 15:00:00,590.02,590.13,587.69,587.83,3884056.0
2025-01-07 15:30:00,587.82,588.8502,586.78,588.72,11672855.0
2025-01-07 16:00:00,588.72,591.273,588.63,588.87,10543714.0
2025-01-08 09:30:00,588.7,588.77,586.5001,587.38,4346597.0
2025-01-08 10:00:00,587.3,588.73,586.0,586.475,3660696.0
2025-01-08 10:30:00,586.47,588.49,586.38,588.42,2406809.0
2025-01-08 11:00:00,588.42,588.72,587.205,588.11,1506777.0
2025-01-08 11:30:00,588.12,589.94,588.12,589.43,1634975.0
2025-01-08 12:00:00,589.4254,589.4595,585.38,585.63,2268588.0
2025-01-08 12:30:00,585.64,587.26,585.195,586.9432,3010108.0
2025-01-08 13:00:00,586.94,589.57,586.88,589.11,2098094.0
2025-01-08 13:30:00,589.12,589.41,586.96,587.77,1617899.0
2025-01-08 14:00:00,587.8,590.5799,587.09,590.2716,3933507.0
2025-01-08 14:30:00,590.28,590.28,588.17,588.53,1936357.0
2025-01-08 15:00:00,588.54,589.29,587.88,589.09,1988689.0
2025-01-08 15:30:00,589.105,589.79,588.23,589.42,7883357.0
2025-01-08 16:00:00,589.41,590.0,589.23,589.59,4618580.0
2025-01-10 09:30:00,585.88,585.95,582.28,582.98,6646160.0
2025-01-10 10:00:00,582.39,582.95,579.15,581.89,9081684.0
2025-01-10 10:30:00,581.9,583.2288,580.92,581.1,4795103.0
2025-01-10 11:00:00,581.1,581.37,579.59,579.86,3443518.0
2025-01-10 11:30:00,579.87,580.81,578.78,579.095,3646156.0
2025-01-10 12:00:00,579.12,580.09,578.55,580.0,2658290.0
2025-01-10 12:30:00,579.98,581.71,579.9,581.56,3018858.0
2025-01-10 13:00:00,581.55,583.75,580.98,583.24,2815021.0
